Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y,
677937,s,s,s,s,s,s,s,s,s,s,s,s,19130.0597,42061.3317,
127725,448.3,446.1,336.9,388.9,599.7,517.9,623.7,637.1,538.7,574.5,607.1,593.8,19132.1903,33470.0202,
127476,529.1,601.9,625.2,660.6,897.7,733.2,699.7,765.2,607.1,696.9,790.9,773.0,19132.4274,33241.9432,
127722,470.8,474.7,404.0,471.7,669.4,544.6,657.7,587.9,470.3,548.0,602.3,589.1,19146.0869,33343.4912,
127726,485.2,531.1,429.0,492.8,756.1,630.1,683.6,680.3,581.5,642.4,705.9,699.9,19167.5029,33477.2797,
127485,s,s,s,s,s,s,s,s,s,s,s,s,19171.5013,33089.0822,
127721,630.9,634.6,529.4,596.4,901.9,678.0,804.3,814.6,642.6,738.3,734.0,718.8,19176.1858,33360.0326,
127651,473.9,519.7,432.6,504.5,758.0,656.1,618.3,676.3,617.7,672.1,755.6,715.8,19210.8954,33465.9587,
127720,493.9,510.8,399.3,497.2,766.3,625.5,634.7,685.6,557.4,618.4,680.8,660.3,19225.2392,33371.2839,
127727,590.5,570.3,491.9,559.3,793.7,672.5,729.7,737.3,677.6,643.1,786.5,750.7,19241.8332,33444.5128,
126984,s,s,s,s,s,s,s,s,s,s,s,s,19276.0032,32991.104,
127712,382.4,446.9,400.3,457.2,688.5,572.5,647.9,662.0,463.0,571.9,718.4,660.6,19288.4796,33533.0796,
127518,s,s,s,s,s,s,s,s,s,s,s,s,19311.1904,33079.3885,
127713,417.9,445.6,437.2,486.1,609.3,511.2,548.0,586.1,538.3,562.3,521.9,551.0,19327.167,33475.9258,
127714,453.1,450.7,385.0,452.7,590.6,499.1,514.6,559.7,513.3,552.7,599.9,550.1,19327.167,33475.9258,
127715,482.8,493.3,429.5,481.0,579.8,511.8,507.2,539.9,533.4,537.3,570.7,551.4,19327.167,33475.9258,
127716,474.7,488.2,442.0,497.2,672.9,565.7,527.4,577.6,445.4,482.1,597.8,575.0,19327.167,33475.9258,
127717,545.0,554.6,477.3,544.3,706.8,607.4,645.7,675.1,586.3,652.6,703.8,677.8,19327.167,33475.9258,
127718,326.2,335.9,349.3,351.0,479.3,391.4,482.9,491.6,447.5,473.5,483.3,489.9,19327.167,33475.9258,
127719,384.4,452.3,426.5,474.3,577.9,486.5,544.7,544.1,559.8,571.3,561.2,527.8,19327.167,33475.9258,
127018,369.2,378.8,324.7,365.6,522.7,445.5,458.6,500.0,385.8,406.5,450.4,446.1,19329.136,33377.4161,
128949,s,s,s,s,s,s,s,s,s,s,s,s,19332.3486,33826.3697,
127019,446.9,447.3,426.1,476.6,638.8,527.0,554.4,570.6,477.7,503.2,583.7,572.0,19347.6629,33350.6934,
129197,521.6,585.3,577.0,621.3,842.9,708.5,602.8,711.3,539.9,625.6,926.0,788.4,19354.721,34041.7193,
127814,s,s,s,s,s,s,s,s,s,s,s,s,19361.5696,33018.0809,
127017,322.5,334.6,311.3,359.8,478.5,403.5,480.3,491.6,435.4,451.2,532.1,490.9,19367.8041,33394.6784,
127020,425.4,449.8,389.6,422.4,662.7,533.4,601.5,593.8,412.5,493.1,568.1,534.0,19370.0956,33313.7444,
659636,307.7,357.6,360.7,376.2,580.7,509.3,579.0,542.0,372.6,487.5,532.5,483.1,19386.7032,36536.3329,
127021,348.4,404.4,373.1,394.5,555.1,442.0,500.3,504.5,435.4,469.5,517.8,501.8,19392.7602,33279.7203,
659802,444.9,353.0,403.8,510.0,446.6,554.8,490.1,599.2,496.4,436.5,491.2,426.9,19393.8715,37167.3037,
