Po0tal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,0ep,Oct,Nov,Dec,X,Y
89388,0,0,0,0,0,0,0,0,0,0,0,0,28514.581,28772.4963
118442,957.1,"1,114.40","1,020.30","1,140.90","1,484.10","1,270.30","1,253.60","1,333.60",792.1,"1,064.70","1,547.60","1,144.90",23557.9441,28775.6655
99309,905.1,491.6,663.4,832,754.3,909.2,875.6,823.7,894.6,824.5,861.3,836.5,27024.1284,28776.767
89393,0,0,0,0,0,0,0,0,0,0,0,0,28543.6743,28777.2266
89916,0,0,0,0,0,0,0,0,0,0,0,0,28337.6277,28778.5311
119462,259.8,278.5,274.4,292.3,216,213.4,262.1,280.3,516.3,457.2,497.4,477.3,23459.4901,28779.2057
169367,0,0,0,0,0,0,0,0,0,0,0,0,28299.9754,28782.1957
118553,322.6,403.9,545.3,606.9,939,748,839.7,837,748,817.3,643.3,730.1,23402.5396,28785.4837
89910,0,0,0,0,0,0,0,0,0,0,0,0,28349.6314,28789.5741
89908,0,0,0,0,0,0,0,0,0,0,0,0,28353.4621,28793.2326
89375,-,-,-,-,-,-,-,0,0,0,0,0,28454.4717,28796.1086
89366,0,0,0,0,0,0,0,0,0,0,0,0,28531.2112,28799.3289
89373,"1,512.10",928.9,"1,089.60","1,828.30","1,216.80","1,097.30","1,603.80","1,219.90","1,197.10","1,345.90","1,263.60","1,299.70",28471.4081,28800.258
89370,0,0,0,0,0,0,0,0,0,0,0,0,28493.5361,28801.4301
99308,803.5,578.8,664.6,807.2,684.4,833.3,863.1,786,926.9,784.6,816.8,761.4,26945.9407,28808.4608
118549,408.5,515.3,449.5,526.1,727.8,593.4,600.1,667,671.9,692.9,709,685.9,23532.5426,28815.2286
118443,"1,496.60","1,608.70","1,521.10","1,672.80","2,021.60","1,824.60","1,602.90","1,783.80","1,282.20","1,615.20","2,060.90","1,779.10",23571.1769,28819.4289
89362,0,0,0,0,0,0,0,0,0,364.7,0,183,28524.9181,28822.213
88888,0,0,0,0,0,0,0,0,0,0,0,0,28419.238,28841.3973
